sample_id	mark	genotype	replicate	bigwig
H3K4me3_WT_rep1	H3K4me3	WT	1	A4435_2_H3K4me3_S2_L008_WT_rep1.mm39.scaled.bw
H3K4me3_WT_rep2	H3K4me3	WT	2	A4435_2_H3K4me3_S2_L008_WT_rep2.mm39.scaled.bw
H3K4me3_WT_rep3	H3K4me3	WT	3	A4435_2_H3K4me3_S2_L008_WT_rep3.mm39.scaled.bw
H3K4me3_WT_rep4	H3K4me3	WT	4	A4435_2_H3K4me3_S2_L008_WT_rep4.mm39.scaled.bw
H3K4me3_WT_rep5	H3K4me3	WT	5	A4435_2_H3K4me3_S2_L008_WT_rep5.mm39.scaled.bw
H3K4me3_WT_rep6	H3K4me3	WT	6	A4435_2_H3K4me3_S2_L008_WT_rep6.mm39.scaled.bw
H3K4me3_HP1gKO_rep2	H3K4me3	HP1gKO	2	A4435_2_H3K4me3_S2_L008_HP1gKO_rep2.mm39.scaled.bw
H3K4me3_HP1gKO_rep3	H3K4me3	HP1gKO	3	A4435_2_H3K4me3_S2_L008_HP1gKO_rep3.mm39.scaled.bw
H3K4me3_HP1gKO_rep4	H3K4me3	HP1gKO	4	A4435_2_H3K4me3_S2_L008_HP1gKO_rep4.mm39.scaled.bw
H3K4me3_HP1gKO_rep5	H3K4me3	HP1gKO	5	A4435_2_H3K4me3_S2_L008_HP1gKO_rep5.mm39.scaled.bw
H3K4me3_HP1gKO_rep6	H3K4me3	HP1gKO	6	A4435_2_H3K4me3_S2_L008_HP1gKO_rep6.mm39.scaled.bw
H3K9me2_WT_rep1	H3K9me2	WT	1	A4435_3_H3K9me2_S3_L008_WT_rep1.mm39.scaled.bw
H3K9me2_WT_rep2	H3K9me2	WT	2	A4435_3_H3K9me2_S3_L008_WT_rep2.mm39.scaled.bw
H3K9me2_WT_rep3	H3K9me2	WT	3	A4435_3_H3K9me2_S3_L008_WT_rep3.mm39.scaled.bw
H3K9me2_WT_rep4	H3K9me2	WT	4	A4435_3_H3K9me2_S3_L008_WT_rep4.mm39.scaled.bw
